,품목명,품목코드,품종명,품종코드,"상태(상품, 중품)",상태코드,단위,일자(조회일자),조회일자 가격,1일전 일자(조회일자 기준),1일전 가격,1주일전 일자(조회일자 기준),1주일전 가격,2주일전 일자(조회일자 기준),2주일전 가격,1개월전 일자(조회일자 기준),1개월전 가격,1년전 일자(조회일자 기준),1년전 가격,평년일자,평년 가격
30,딸기,226,딸기(2kg),00,상품,04,2kg,당일 (05/10),12720.0,1일전 (05/09),13740.0,1주일전 (05/03),13780.0,2주일전 (04/26),13540.0,1개월전,17140.0,1년전,,일평년,13961.0
31,딸기,226,딸기(2kg),00,중품,05,2kg,당일 (05/10),9462.0,1일전 (05/09),9596.0,1주일전 (05/03),9636.0,2주일전 (04/26),8996.0,1개월전,12290.0,1년전,,일평년,10142.0
30,딸기,226,딸기(2kg),00,상품,04,2kg,당일 (05/11),12750.0,1일전 (05/10),12720.0,1주일전 (05/04),13720.0,2주일전 (04/27),13540.0,1개월전,16856.0,1년전,,일평년,13400.0
31,딸기,226,딸기(2kg),00,중품,05,2kg,당일 (05/11),9663.0,1일전 (05/10),9462.0,1주일전 (05/04),9570.0,2주일전 (04/27),8996.0,1개월전,12016.0,1년전,,일평년,9400.0
30,딸기,226,딸기(2kg),00,상품,04,2kg,당일 (05/12),,1일전 (05/11),12750.0,1주일전 (05/05),,2주일전 (04/28),13800.0,1개월전,16432.0,1년전,,일평년,13400.0
31,딸기,226,딸기(2kg),00,중품,05,2kg,당일 (05/12),,1일전 (05/11),9663.0,1주일전 (05/05),,2주일전 (04/28),9262.0,1개월전,11592.0,1년전,,일평년,9400.0
30,딸기,226,딸기(2kg),00,상품,04,2kg,당일 (05/13),,1일전 (05/12),,1주일전 (05/06),13940.0,2주일전 (04/29),14200.0,1개월전,15840.0,1년전,,일평년,13320.0
31,딸기,226,딸기(2kg),00,중품,05,2kg,당일 (05/13),,1일전 (05/12),,1주일전 (05/06),9786.0,2주일전 (04/29),9662.0,1개월전,11042.0,1년전,,일평년,9320.0
30,딸기,226,딸기(2kg),00,상품,04,2kg,당일 (05/16),,1일전 (05/15),,1주일전 (05/09),13740.0,2주일전 (05/02),13800.0,1개월전,14855.0,1년전,,일평년,13000.0
31,딸기,226,딸기(2kg),00,중품,05,2kg,당일 (05/16),,1일전 (05/15),,1주일전 (05/09),9596.0,2주일전 (05/02),9462.0,1개월전,10233.0,1년전,,일평년,8920.0
